id,produto,preco,qtproduto,dtvencimento,categoria_id
1,Banana,8.90,12,2022-08-01,1
3,"Alface Americana",3.70,3,2022-08-07,2
4,Tomate,6.00,4,2022-08-30,3
5,"Suco de Laranja 1L",9.00,2,2022-09-25,4
6,Maça,10.00,3,2022-10-01,1
7,Pepino,4.00,2,2022-09-12,3
8,Brócolis,8.00,6,2022-09-05,2
11,"Salada de frutas pronta",12.00,10,2022-09-09,6
12,Chuchu,5.00,6,2022-09-06,2
13,"Mamão Formosa",7.00,9,2022-09-20,1
14,Abacate,13.00,20,2022-09-05,1
15,Pitaya,24.00,10,2022-10-01,1
16,Batata,3.70,150,2022-09-22,2
17,Cebola,6.00,80,2022-09-04,2
18,Pera,8.00,40,2022-05-05,1
19,"Coco Seco",15.00,32,2022-09-15,1
20,Alfafa,10.00,18,2022-04-05,3
21,Couve,3.00,6,2022-03-05,3
22,Couve-Flor,4.00,6,2022-03-08,3
23,Abóbora,3.00,6,2022-04-24,3
